Winery,Year,Wine ID,Wine,Rating,Rates count
Ducato Grazioli,2021,1400203,Petit Verdot 2021,0.0,16
Ducato Grazioli,2022,1481863,Primitivo 2022,0.0,2
Le Chiantigiane,2021,5544434,Loggia del Sole Governo All'Uso Toscana 2021,4.3,160
Tagaro,2021,6839596,Passo del Sud Negroamaro - Primitivo 2021,0.0,12
Cantina Sampietrana,1952,1227674,Since 1952 Riserva 1952,4.4,48
Cignomoro,2021,1809484,Pepe Nero Primitivo Salento 2021,4.3,54
Fattorie Parri,2016,1516639,Sassifratti Chianti Montespertoli Riserva 2016,0.0,5
Linteo,2022,5967640,Primitivo Appassimento 2022,0.0,4
